condition_identifier,mae_mean,mae_sample_std,mape_percent_mean,mape_percent_sample_std,model_identifier,rmse_mean,rmse_sample_std,scope_identifier,seed_count,wmape_percent_mean,wmape_percent_sample_std
iid_random_50pct,1.8405341438403269,0.008152548511487922,4.371251350777815,0.07315589989027797,MS-GRU,4.079531941560036,0.029968357330030903,overall,5,2.9463493366081113,0.013050698341498287
spatial_geographic_knn4_cluster_16_full_history,2.170301678386022,0.0074133501344640276,5.207951087514724,0.11134614942932111,MS-GRU,4.772794366478348,0.022039163125339357,horizon_12,5,3.4741601033298886,0.01186708996526393
spatial_geographic_knn4_cluster_16_full_history,1.5167049695024137,0.005920739322143087,3.4780874786768186,0.056577275793283865,MS-GRU,3.2550766983282005,0.026998576728694997,horizon_3,5,2.4280081068806134,0.0094781802406876
spatial_geographic_knn4_cluster_16_full_history,1.8178131663391297,0.007056158233137791,4.2697623916413825,0.05943765802773487,MS-GRU,4.030587904632478,0.023123431743930452,horizon_6,5,2.9099691720894834,0.01129555188180746
spatial_geographic_knn4_cluster_16_full_history,1.7910541909565758,0.006361814697244366,4.21750592301572,0.06807656647526696,MS-GRU,3.9901626786177773,0.02305277450299438,overall,5,2.867141229090879,0.01018406997532761
spatial_geographic_knn4_cluster_32_full_history,2.204051695573841,0.007721716647322894,5.279170583909215,0.1080685874323656,MS-GRU,4.823591610588292,0.01755406781006338,horizon_12,5,3.528186216090313,0.0123607147211431
spatial_geographic_knn4_cluster_32_full_history,1.5795763103917209,0.005859755307225315,3.6442929906323114,0.05874431586416116,MS-GRU,3.4138827076977973,0.026818083208644355,horizon_3,5,2.528655318064851,0.009380554344031398
spatial_geographic_knn4_cluster_32_full_history,1.8645421695017759,0.007287727448191963,4.389348447991798,0.05903879954004562,MS-GRU,4.121811781876817,0.021238053287729836,horizon_6,5,2.9847733165217862,0.011666249646292032
spatial_geographic_knn4_cluster_32_full_history,1.8409309560931706,0.006349871588299747,4.34262455955051,0.06797888813137108,MS-GRU,4.088184335769113,0.021350685713426215,overall,5,2.946984558465765,0.010164951301961007
spatial_geographic_knn4_cluster_8_full_history,2.1497230927638027,0.007685520529515718,5.157540746010885,0.1137964495336317,MS-GRU,4.738237314134288,0.02406420926444096,horizon_12,5,3.4412184612237846,0.012302772956809812
spatial_geographic_knn4_cluster_8_full_history,1.4800749780322922,0.0059616390362735635,3.374444328793092,0.05628173132260036,MS-GRU,3.155312378697231,0.027494270957590546,horizon_3,5,2.369369203446677,0.009543654304183375
spatial_geographic_knn4_cluster_8_full_history,1.7894020994769015,0.006932906887048353,4.192017187293686,0.06029287305426713,MS-GRU,3.9711872931121164,0.02388560237563591,horizon_6,5,2.864488519706623,0.011098250187562959
spatial_geographic_knn4_cluster_8_full_history,1.7614293328066792,0.006398598333500455,4.137710137085459,0.06864353268766091,MS-GRU,3.9275788270369154,0.023718059453853132,overall,5,2.819717397563944,0.010242953665501837
temporal_tail_25pct_sensors_3steps,2.157885065346992,0.00772722879662124,5.19894857401561,0.11282742417329254,MS-GRU,4.754629868485593,0.02327315786380391,horizon_12,5,3.454283925714452,0.012369538420339542
temporal_tail_25pct_sensors_3steps,1.537565942742366,0.005924999905164138,3.5496676976651904,0.05729817975764703,MS-GRU,3.3354867793611094,0.03139032737882352,horizon_3,5,2.46140327150557,0.009485000769612366
temporal_tail_25pct_sensors_3steps,1.8175237344672523,0.00676000889691199,4.295303019066695,0.05880847784819378,MS-GRU,4.050427021744172,0.027676494202964943,horizon_6,5,2.9095058473429263,0.010821473767120069
temporal_tail_25pct_sensors_3steps,1.7960673511517598,0.006471961897048079,4.251227945109829,0.06826266610644459,MS-GRU,4.012457228170481,0.02650169189823555,overall,5,2.8751663566142254,0.010360394946074235
temporal_tail_50pct_sensors_6steps,2.2352399210243123,0.010582171281524702,5.420149544146544,0.11365147393729481,MS-GRU,4.878975565013491,0.02671300111261881,horizon_12,5,3.57811148207189,0.016939652970372622
temporal_tail_50pct_sensors_6steps,1.7353543824778506,0.007074173927912858,4.148216218300574,0.06816179397709823,MS-GRU,3.864499788856082,0.04042223405947291,horizon_3,5,2.7780317159172574,0.011324649151832771
temporal_tail_50pct_sensors_6steps,1.944215124564969,0.007665006121216096,4.69577709232921,0.06270729309783259,MS-GRU,4.329549037318403,0.0356822999082629,horizon_6,5,3.112314390256043,0.012270200221695868
temporal_tail_50pct_sensors_6steps,1.9385121665954081,0.008231365754439241,4.680571844951568,0.07433352045984248,MS-GRU,4.320086282663279,0.03462672265783831,overall,5,3.103193741430873,0.013176869938075264
temporal_tail_75pct_sensors_12steps,2.694822501960066,0.029586377574230636,6.433172345257008,0.06600602950759357,MS-GRU,5.53523979025459,0.04679172755035306,horizon_12,5,4.31379882119783,0.04736107131746113
temporal_tail_75pct_sensors_12steps,2.4737911043155423,0.021513866882886194,6.145976002710642,0.13383457499829304,MS-GRU,5.197497938179811,0.07573028836675125,horizon_3,5,3.960153739047746,0.03444034552028609
temporal_tail_75pct_sensors_12steps,2.5426212160200725,0.018520516015653184,6.2307897038551685,0.08368280765593059,MS-GRU,5.296805749206068,0.03425376836570443,horizon_6,5,4.07024742252238,0.029647783201656876
