baseline_mae,baseline_model,condition_identifier,far_mae,model_seed,paired_mae_improvement_percent,reference_model,scope_identifier
1.7952287312137047,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,1.704339994351883,29,5.0627942435153805,FAR-GF-RC,horizon_6
2.156061422337427,MS-GRU,spatial_geographic_knn4_cluster_8_full_history,2.0094090498045176,29,6.801864316737359,FAR-GF-RC,horizon_12
1.7955411890019377,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.6705665577192728,29,6.960276492021486,FAR-GF-RC,overall
1.5151081545128506,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.418021876917477,29,6.407877702076623,FAR-GF-RC,horizon_3
1.824456012735608,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,1.7265026454584809,29,5.36890813444468,FAR-GF-RC,horizon_6
2.1770869443196896,MS-GRU,spatial_geographic_knn4_cluster_16_full_history,2.0254023455087404,29,6.967319298235404,FAR-GF-RC,horizon_12
1.8460041291021365,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7086831931875048,29,7.438820626117567,FAR-GF-RC,overall
1.5781757711040638,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.4654566426947702,29,7.142368453067642,FAR-GF-RC,horizon_3
1.8717900968891845,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,1.7602483731918062,29,5.959093590822751,FAR-GF-RC,horizon_6
2.2117448694668744,MS-GRU,spatial_geographic_knn4_cluster_32_full_history,2.0508112667831973,29,7.276318571159118,FAR-GF-RC,horizon_12
1.72866294063438,MS-GRU,clean_native_history,1.6256150800237295,43,5.9611308941947,FAR-GF-RC,overall
1.4406077300581304,MS-GRU,clean_native_history,1.3640064032958397,43,5.317292498437429,FAR-GF-RC,horizon_3
1.7597126121190434,MS-GRU,clean_native_history,1.6873782862317785,43,4.11057609004461,FAR-GF-RC,horizon_6
2.123878738661698,MS-GRU,clean_native_history,1.9822096409459058,43,6.670300669098507,FAR-GF-RC,horizon_12
1.742131008640727,MS-GRU,iid_random_10pct,1.6364233506775545,43,6.067721511119264,FAR-GF-RC,overall
1.4590088902086518,MS-GRU,iid_random_10pct,1.377664019303425,43,5.575351284774805,FAR-GF-RC,horizon_3
1.7710336279157883,MS-GRU,iid_random_10pct,1.6956679154037892,43,4.255464793217505,FAR-GF-RC,horizon_6
2.1325469397256227,MS-GRU,iid_random_10pct,1.989913643841058,43,6.688401236453726,FAR-GF-RC,horizon_12
1.7781162097922512,MS-GRU,iid_random_30pct,1.6689385491145647,43,6.140074539359965,FAR-GF-RC,overall
1.5083123363171398,MS-GRU,iid_random_30pct,1.4162015525004197,43,6.106877309087577,FAR-GF-RC,horizon_3
1.801539653715808,MS-GRU,iid_random_30pct,1.7229412546602287,43,4.3628459075804535,FAR-GF-RC,horizon_6
2.155231938393296,MS-GRU,iid_random_30pct,2.015138222519778,43,6.500168885672533,FAR-GF-RC,horizon_12
1.8400371822347497,MS-GRU,iid_random_50pct,1.7300823251493316,43,5.97568669519365,FAR-GF-RC,overall
1.5904501322735558,MS-GRU,iid_random_50pct,1.4857847558287753,43,6.580865021851444,FAR-GF-RC,horizon_3
