condition_identifier,mae,mape_percent,model_identifier,model_seed,rmse,scope_identifier,scored_cells,wmape_percent
temporal_tail_50pct_sensors_6steps,2.0939610527779364,5.025861803190819,FAR-GF-RC,71,4.625912060183625,horizon_12,3384008,3.3519560989777895
temporal_tail_75pct_sensors_12steps,2.2907740706340385,5.380478085291082,FAR-GF-RC,71,4.733270757648789,overall,40608096,3.667098861447255
temporal_tail_75pct_sensors_12steps,2.1628479634113407,4.974536869381084,FAR-GF-RC,71,4.434212724136655,horizon_3,3384008,3.4623822659694934
temporal_tail_75pct_sensors_12steps,2.301882405484001,5.409890687193928,FAR-GF-RC,71,4.744513992502823,horizon_6,3384008,3.684870899699479
temporal_tail_75pct_sensors_12steps,2.483294429267829,5.936594671554956,FAR-GF-RC,71,5.131305337451253,horizon_12,3384008,3.9751904156474365
spatial_geographic_knn4_cluster_8_full_history,1.642621938086374,3.805101644702074,FAR-GF-RC,71,3.6777981531084634,overall,40608096,2.6295290819655577
spatial_geographic_knn4_cluster_8_full_history,1.3817422122623408,3.0141384934010493,FAR-GF-RC,71,2.9134184324657584,horizon_3,3384008,2.2119537816855406
spatial_geographic_knn4_cluster_8_full_history,1.7016130118918125,3.9554699293778923,FAR-GF-RC,71,3.7732885615780547,horizon_6,3384008,2.723955079169966
spatial_geographic_knn4_cluster_8_full_history,2.008232914928089,4.81267083832518,FAR-GF-RC,71,4.464744168415538,horizon_12,3384008,3.2147248194663653
spatial_geographic_knn4_cluster_16_full_history,1.6664375267909368,3.8666282835560057,FAR-GF-RC,71,3.726639130165204,overall,40608096,2.6676533646448295
spatial_geographic_knn4_cluster_16_full_history,1.4108671902690657,3.0928052345321735,FAR-GF-RC,71,2.990842607935257,horizon_3,3384008,2.2585783290662005
spatial_geographic_knn4_cluster_16_full_history,1.7240973176558667,4.014093389853844,FAR-GF-RC,71,3.819195738661628,horizon_6,3384008,2.75994812721296
spatial_geographic_knn4_cluster_16_full_history,2.0244319623654743,4.85351706449517,FAR-GF-RC,71,4.491864937065634,horizon_12,3384008,3.2406558155483314
spatial_geographic_knn4_cluster_32_full_history,1.7052694729450744,3.9579313850685325,FAR-GF-RC,71,3.796686053448183,overall,40608096,2.7298160140981667
spatial_geographic_knn4_cluster_32_full_history,1.4590413145895986,3.211525453667674,FAR-GF-RC,71,3.106619236440024,horizon_3,3384008,2.335697588740349
spatial_geographic_knn4_cluster_32_full_history,1.7585886010312282,4.0945757182315505,FAR-GF-RC,71,3.880855641989231,horizon_6,3384008,2.8151620365335943
spatial_geographic_knn4_cluster_32_full_history,2.050671563546459,4.909736102117761,FAR-GF-RC,71,4.527535730186124,horizon_12,3384008,3.2826594579258552
clean_native_history,1.6292032545725197,3.754733579773415,FAR-GF-RC,101,3.6248776726447463,overall,40608096,2.608048290967187
clean_native_history,1.3568117209268782,2.9566400889082,FAR-GF-RC,101,2.8247487206507547,horizon_3,3384008,2.1720439532824076
clean_native_history,1.6875228440000292,3.89963792378922,FAR-GF-RC,101,3.714550784124097,horizon_6,3384008,2.701399431013215
clean_native_history,2.0096759841334912,4.774556883530081,FAR-GF-RC,101,4.437226029670164,horizon_12,3384008,3.2170348455377087
iid_random_10pct,1.6410307743817936,3.7862015272371194,FAR-GF-RC,101,3.6493979770546923,overall,40608096,2.6269819278466757
iid_random_10pct,1.3712624229774177,2.9940753830006956,FAR-GF-RC,101,2.8633913193846534,horizon_3,3384008,2.195177273495855
iid_random_10pct,1.6966375728813843,3.924706791970506,FAR-GF-RC,101,3.7354270994856913,horizon_6,3384008,2.7159903584791616
iid_random_10pct,2.0182277457209867,4.800124851966531,FAR-GF-RC,101,4.454638951958364,horizon_12,3384008,3.2307242737017052
iid_random_30pct,1.6750274298365686,3.8771580152115015,FAR-GF-RC,101,3.7193354580939464,overall,40608096,2.681404185418639
iid_random_30pct,1.410641875911414,3.0982262032371812,FAR-GF-RC,101,2.967385200867655,horizon_3,3384008,2.2582176359202197
iid_random_30pct,1.7245712473788688,4.001549817145793,FAR-GF-RC,101,3.7973203326888454,horizon_6,3384008,2.7607067975258452
iid_random_30pct,2.0458203198864098,4.878486629154842,FAR-GF-RC,101,4.5073668359276144,horizon_12,3384008,3.2748937185620033
iid_random_50pct,1.7366023612381478,4.042616411155157,FAR-GF-RC,101,3.8428607626557523,overall,40608096,2.7799740809535254
iid_random_50pct,1.4797314990338308,3.288616089049326,FAR-GF-RC,101,3.139622082778898,horizon_3,3384008,2.3688193471400276
iid_random_50pct,1.7773031683975424,4.145943751244727,FAR-GF-RC,101,3.9082221822942538,horizon_6,3384008,2.845120458616454
iid_random_50pct,2.0975812937618086,5.016012104668796,FAR-GF-RC,101,4.6019072128891585,horizon_12,3384008,3.3577512826224716
temporal_tail_25pct_sensors_3steps,1.6775727237671447,3.880064018458447,FAR-GF-RC,101,3.7274114562079457,overall,40608096,2.685478722752773
temporal_tail_25pct_sensors_3steps,1.419932707323851,3.126585362368405,FAR-GF-RC,101,3.0011344313325052,horizon_3,3384008,2.273090807989049
temporal_tail_25pct_sensors_3steps,1.724539484707115,3.9993972058282754,FAR-GF-RC,101,3.800160053708781,horizon_6,3384008,2.7606559515988054
temporal_tail_25pct_sensors_3steps,2.0387248365595907,4.848687156230838,FAR-GF-RC,101,4.494393947229311,horizon_12,3384008,3.2635354611670175
temporal_tail_50pct_sensors_6steps,1.7880515192719793,4.188680618614956,FAR-GF-RC,101,3.954887062222644,overall,40608096,2.8623345159116806
temporal_tail_50pct_sensors_6steps,1.5613496917530534,3.5364090608823213,FAR-GF-RC,101,3.366079933297633,horizon_3,3384008,2.4994773442956846
temporal_tail_50pct_sensors_6steps,1.816040881393419,4.261109126223291,FAR-GF-RC,101,3.997512596025229,horizon_6,3384008,2.9071320848399935
temporal_tail_50pct_sensors_6steps,2.1077538055727003,5.034490661261405,FAR-GF-RC,101,4.611887522696429,horizon_12,3384008,3.3740351638155848
temporal_tail_75pct_sensors_12steps,2.2918082060256415,5.361876438424112,FAR-GF-RC,101,4.690640056053043,overall,40608096,3.668754317900052
temporal_tail_75pct_sensors_12steps,2.1570464140785344,4.972455461231715,FAR-GF-RC,101,4.388084353325236,horizon_3,3384008,3.4530948903125505
temporal_tail_75pct_sensors_12steps,2.3018073544059554,5.378224866030832,FAR-GF-RC,101,4.690493991378647,horizon_6,3384008,3.684750757361703
temporal_tail_75pct_sensors_12steps,2.4930841146496596,5.895875873219694,FAR-GF-RC,101,5.092723985609818,horizon_12,3384008,3.9908614786689607
spatial_geographic_knn4_cluster_8_full_history,1.6482068798009324,3.80148201259587,FAR-GF-RC,101,3.66092316287481,overall,40608096,2.6384695242663723
spatial_geographic_knn4_cluster_8_full_history,1.3810497364218304,3.0190878883661223,FAR-GF-RC,101,2.8877666727524978,horizon_3,3384008,2.2108452358652353
spatial_geographic_knn4_cluster_8_full_history,1.7049214024404782,3.941755147535867,FAR-GF-RC,101,3.7466004298946287,horizon_6,3384008,2.7292511759768985
spatial_geographic_knn4_cluster_8_full_history,2.0224310400665786,4.80404874105811,FAR-GF-RC,101,4.456164225700442,horizon_12,3384008,3.2374527933648642
spatial_geographic_knn4_cluster_16_full_history,1.671613084094781,3.861241991237411,FAR-GF-RC,101,3.708136901492048,overall,40608096,2.6759384594254896
spatial_geographic_knn4_cluster_16_full_history,1.4098058231683892,3.096078749640249,FAR-GF-RC,101,2.963376011093028,horizon_3,3384008,2.2568792458716196
